FECHA,HORA,ACO,AJM,ATI,BJU,CAM,CCA,CHO,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
2024-01-02,24,-99,1,3,-99,2,1,1,0,1,2,2,1,-99,2,-99,1,4,2,-99,1,2,-99,1,1,-99,-99,1,3,-99,-99,1,1,-99
2024-01-03,1,-99,1,3,-99,2,1,1,0,2,2,2,1,-99,2,-99,1,4,2,-99,1,2,-99,1,1,-99,-99,1,2,-99,-99,1,2,-99
2024-01-03,2,-99,1,2,-99,2,0,1,0,2,1,1,1,-99,1,-99,1,4,2,-99,1,1,-99,1,1,-99,-99,1,3,-99,-99,1,1,-99
2024-01-03,3,-99,1,2,-99,2,1,1,0,2,1,1,1,-99,2,-99,1,4,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
2024-01-03,4,-99,1,2,-99,2,1,1,0,1,1,1,1,-99,1,-99,1,4,2,-99,1,-99,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
2024-01-03,5,-99,1,1,-99,2,0,1,0,1,1,1,1,-99,1,-99,1,4,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
2024-01-03,6,-99,1,2,-99,3,0,1,0,1,1,2,1,-99,1,-99,1,4,2,-99,1,2,-99,1,1,-99,-99,1,2,-99,-99,0,1,-99
2024-01-03,7,-99,1,2,-99,2,1,1,0,1,1,2,1,-99,2,-99,1,5,2,-99,1,1,-99,1,1,-99,-99,1,3,-99,-99,1,2,-99
2024-01-03,8,-99,1,3,-99,3,1,2,0,1,3,1,1,-99,2,-99,1,5,2,-99,1,1,-99,1,2,-99,-99,1,-99,-99,-99,1,3,-99
2024-01-03,9,-99,1,4,-99,3,2,2,0,1,4,3,1,-99,2,-99,1,4,2,-99,1,3,-99,2,2,-99,-99,1,4,-99,-99,1,3,-99
2024-01-03,10,-99,1,3,-99,3,2,1,0,2,5,3,1,-99,2,-99,2,5,3,-99,1,2,-99,2,2,-99,-99,1,3,-99,-99,1,3,-99
2024-01-03,11,-99,1,4,-99,1,1,1,0,3,5,1,1,-99,1,-99,2,5,3,-99,1,2,-99,1,1,-99,-99,1,3,-99,-99,1,3,-99
2024-01-03,12,-99,1,3,-99,1,1,1,0,2,2,1,1,-99,1,-99,1,4,2,-99,1,2,-99,1,1,-99,-99,1,4,-99,-99,0,2,-99
2024-01-03,13,-99,1,2,-99,1,0,1,0,2,1,2,1,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,5,-99,-99,0,1,-99
2024-01-03,14,-99,1,2,-99,1,0,1,0,2,1,2,1,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,5,-99,-99,0,1,-99
2024-01-03,15,-99,1,2,-99,1,1,2,0,2,1,-99,1,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,0,2,-99
2024-01-03,16,-99,1,2,-99,1,0,2,0,2,1,1,1,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,0,2,-99
2024-01-03,17,-99,1,1,-99,1,0,2,0,2,1,1,1,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,0,1,-99
2024-01-03,18,-99,1,1,-99,1,1,2,0,2,1,1,1,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,0,1,-99
2024-01-03,19,-99,1,2,-99,1,1,1,0,2,1,1,2,-99,2,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
2024-01-03,20,-99,1,2,-99,1,1,1,0,2,1,1,1,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
2024-01-03,21,-99,1,2,-99,1,1,1,0,2,1,1,1,-99,1,-99,1,4,2,-99,1,1,-99,1,1,-99,-99,1,2,-99,-99,1,1,-99
2024-01-03,22,-99,1,3,-99,1,1,1,0,2,2,1,1,-99,1,-99,1,3,2,-99,1,1,-99,1,1,-99,-99,1,3,-99,-99,0,1,-99
2024-01-03,23,-99,1,2,-99,1,1,1,0,1,1,2,1,-99,1,-99,1,3,2,-99,1,2,-99,1,1,-99,-99,1,3,-99,-99,0,1,-99
2024-01-03,24,-99,1,2,-99,1,1,1,0,1,1,1,1,-99,1,-99,1,4,2,-99,1,1,-99,1,1,-99,-99,1,3,-99,-99,0,1,-99
2024-01-04,1,-99,1,2,-99,2,0,1,0,3,1,1,1,-99,1,-99,1,4,2,-99,1,1,0,1,1,-99,-99,1,3,-99,-99,0,2,-99
2024-01-04,2,-99,1,1,-99,2,0,1,0,2,0,1,1,-99,1,-99,1,4,2,-99,1,1,0,1,1,-99,-99,1,2,-99,-99,0,4,-99
2024-01-04,3,-99,1,1,-99,2,0,1,0,1,0,1,1,-99,1,-99,1,4,2,-99,1,1,0,1,1,-99,-99,1,2,-99,-99,0,12,-99
2024-01-04,4,-99,1,1,-99,4,0,1,0,1,0,1,1,-99,1,-99,1,4,2,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,0,14,-99
2024-01-04,5,-99,1,1,-99,3,0,1,0,1,-99,1,1,-99,1,-99,1,4,2,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,0,15,-99
2024-01-04,6,-99,1,2,-99,4,0,1,0,1,-99,1,1,-99,1,-99,1,4,2,-99,1,1,0,1,1,-99,-99,1,2,-99,-99,0,11,-99
2024-01-04,7,-99,1,2,-99,7,0,1,0,1,-99,1,1,-99,3,-99,1,6,2,-99,1,1,0,1,1,-99,-99,1,2,-99,-99,1,8,-99
2024-01-04,8,-99,1,3,-99,4,0,1,0,1,-99,1,2,-99,5,-99,1,7,3,-99,1,1,1,1,1,-99,-99,1,4,-99,-99,1,7,-99
2024-01-04,9,-99,2,3,-99,2,1,1,0,3,-99,1,2,-99,5,-99,1,6,3,-99,1,2,0,1,2,-99,-99,1,4,-99,-99,2,7,-99
2024-01-04,10,-99,1,4,-99,2,1,1,0,6,2,1,1,-99,2,-99,1,4,3,-99,1,1,0,1,1,-99,-99,2,2,-99,-99,0,6,-99
2024-01-04,11,-99,1,2,-99,1,1,1,0,5,1,1,1,-99,1,-99,1,3,2,-99,1,1,0,1,1,-99,-99,1,2,-99,-99,0,2,-99
2024-01-04,12,-99,1,1,-99,1,0,1,0,3,1,1,1,-99,1,-99,1,-99,2,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,1,-99
2024-01-04,13,-99,1,1,-99,1,0,1,0,2,1,1,1,-99,1,-99,1,-99,2,-99,1,1,0,1,1,-99,-99,0,-99,-99,-99,0,0,-99
2024-01-04,14,-99,1,1,-99,1,0,1,0,1,0,1,1,-99,1,-99,1,-99,2,-99,0,1,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
2024-01-04,15,-99,1,1,-99,0,0,1,0,1,0,1,0,-99,1,-99,1,-99,1,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
2024-01-04,16,-99,1,1,-99,1,0,1,0,1,0,1,0,-99,1,-99,1,-99,1,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
2024-01-04,17,-99,1,1,-99,0,0,1,0,1,0,1,0,-99,1,-99,1,-99,1,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
2024-01-04,18,-99,1,1,-99,0,0,2,0,1,0,1,0,-99,1,-99,1,-99,1,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
2024-01-04,19,-99,1,1,-99,1,0,1,0,1,1,1,1,-99,1,-99,1,-99,1,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
2024-01-04,20,-99,1,1,-99,1,0,2,0,1,1,1,1,-99,1,-99,1,-99,1,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,1,-99,-99
2024-01-04,21,-99,1,1,-99,1,0,2,0,1,1,2,1,-99,1,-99,1,-99,2,-99,1,2,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
2024-01-04,22,-99,1,1,-99,1,0,1,0,1,1,2,1,-99,1,-99,2,-99,2,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
2024-01-04,23,-99,1,1,-99,1,0,1,0,2,1,1,1,-99,1,-99,1,-99,2,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,-99,-99
2024-01-04,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2024-01-05,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2024-01-05,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2024-01-05,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2024-01-05,4,-99,1,1,-99,4,0,1,-99,2,1,1,1,-99,1,-99,-99,2,4,-99,2,1,0,1,1,-99,-99,1,-99,-99,-99,0,0,-99
2024-01-05,5,-99,1,1,-99,1,0,1,-99,2,1,1,1,-99,1,-99,-99,2,3,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,0,-99
2024-01-05,6,-99,1,1,-99,1,0,1,-99,2,1,1,1,-99,2,-99,-99,2,3,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,0,0,-99
2024-01-05,7,-99,1,1,-99,5,0,1,-99,2,2,1,1,-99,2,-99,-99,3,3,-99,1,1,0,1,1,-99,-99,1,-99,-99,-99,1,0,-99
2024-01-05,8,-99,1,2,-99,5,0,1,-99,3,2,1,1,-99,3,-99,-99,4,2,-99,1,1,-99,1,1,-99,-99,0,-99,-99,-99,2,1,-99
2024-01-05,9,-99,1,1,-99,3,1,1,0,5,15,1,1,-99,2,-99,-99,2,3,-99,1,1,0,1,1,-99,-99,1,2,-99,-99,0,1,-99
2024-01-05,10,-99,1,1,-99,1,1,1,0,3,2,1,0,-99,1,-99,-99,1,2,-99,1,1,0,1,1,-99,-99,0,2,-99,-99,0,0,-99
2024-01-05,11,-99,1,1,-99,1,0,1,0,2,1,1,0,-99,1,-99,-99,1,1,-99,1,1,0,1,0,-99,-99,0,2,-99,-99,0,0,-99
2024-01-05,12,-99,1,-99,-99,1,0,1,0,1,1,1,0,-99,1,-99,-99,1,1,-99,1,1,0,1,1,-99,-99,1,4,-99,-99,0,0,-99
2024-01-05,13,-99,1,-99,-99,1,0,1,0,1,0,1,0,-99,1,-99,0,1,1,-99,1,1,0,1,0,-99,-99,1,2,-99,-99,0,0,-99
2024-01-05,14,-99,1,-99,-99,0,0,1,0,1,1,1,0,-99,1,-99,0,1,1,-99,1,1,0,1,0,-99,-99,1,1,-99,-99,0,0,-99
2024-01-05,15,-99,1,-99,-99,1,0,1,0,1,0,1,0,-99,1,-99,0,1,1,-99,1,1,0,1,0,-99,-99,1,1,-99,-99,0,0,-99
2024-01-05,16,-99,1,-99,-99,1,0,1,0,1,0,1,-99,-99,1,-99,0,2,1,-99,0,1,0,1,0,-99,-99,1,1,-99,-99,0,0,-99
2024-01-05,17,-99,1,-99,-99,1,0,1,0,1,0,1,0,-99,1,-99,0,2,1,-99,1,1,0,1,0,-99,-99,1,1,-99,-99,0,0,-99
2024-01-05,18,-99,1,-99,-99,1,0,1,0,1,0,1,1,-99,1,-99,0,1,1,-99,1,1,0,1,0,-99,-99,1,1,-99,-99,0,0,-99
2024-01-05,19,-99,1,-99,-99,1,0,2,0,1,1,1,1,-99,1,-99,0,2,2,-99,1,-99,0,1,0,-99,-99,-99,1,-99,-99,0,0,-99
2024-01-05,20,-99,1,-99,-99,1,0,2,0,1,1,1,0,-99,1,-99,1,2,2,-99,1,-99,0,1,1,-99,-99,-99,1,-99,-99,1,1,-99
2024-01-05,21,-99,1,-99,-99,1,0,2,0,1,1,1,0,-99,1,-99,1,2,2,-99,1,-99,0,1,1,-99,-99,1,1,-99,-99,0,1,-99
2024-01-05,22,-99,1,-99,-99,1,0,1,0,1,1,2,1,-99,1,-99,1,2,2,-99,1,2,0,1,1,-99,-99,1,1,-99,-99,1,1,-99
2024-01-05,23,-99,1,-99,-99,1,0,1,0,1,1,1,0,-99,1,-99,1,2,2,-99,1,2,0,1,1,-99,-99,1,1,-99,-99,1,2,-99
2024-01-05,24,-99,1,-99,-99,1,1,1,0,1,1,2,1,-99,2,-99,1,3,2,-99,1,1,0,1,1,-99,-99,1,3,-99,-99,1,3,-99
2024-01-06,1,-99,1,-99,-99,0,1,1,0,1,1,2,1,-99,2,-99,1,3,2,-99,1,1,0,1,1,-99,-99,1,2,-99,-99,1,2,-99
2024-01-06,2,-99,1,-99,-99,2,0,1,0,1,0,1,1,-99,3,-99,1,3,3,-99,1,-99,0,1,2,-99,-99,1,1,-99,-99,1,2,-99
2024-01-06,3,-99,1,-99,-99,2,0,1,0,1,1,1,1,-99,2,-99,1,2,2,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,1,2,-99
2024-01-06,4,-99,1,-99,-99,2,0,1,0,1,1,1,1,-99,1,-99,0,2,2,-99,1,1,0,1,1,-99,-99,0,1,-99,-99,0,2,-99
2024-01-06,5,-99,1,-99,-99,1,1,1,0,1,1,2,1,-99,1,-99,0,2,2,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,0,2,-99
2024-01-06,6,-99,1,-99,-99,2,1,1,0,1,1,2,1,-99,1,-99,0,3,2,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,0,2,-99
2024-01-06,7,-99,1,-99,-99,2,1,1,0,1,1,2,1,-99,2,-99,0,5,2,-99,1,1,0,1,1,-99,-99,1,1,-99,-99,0,2,-99
2024-01-06,8,-99,1,-99,-99,4,1,1,0,1,1,2,2,-99,2,-99,1,4,2,-99,1,1,0,1,2,-99,-99,1,1,-99,-99,1,3,-99
2024-01-06,9,-99,1,-99,-99,4,1,1,0,3,1,4,1,-99,2,-99,0,3,2,-99,1,3,0,1,-99,-99,-99,1,2,-99,-99,2,4,-99
2024-01-06,10,-99,1,-99,-99,1,0,1,0,3,0,2,1,-99,1,-99,0,2,2,-99,1,2,0,1,1,-99,-99,1,2,-99,-99,0,4,-99
2024-01-06,11,-99,1,3,-99,1,0,1,0,3,0,1,1,-99,1,-99,0,2,2,-99,1,1,0,0,1,-99,-99,1,2,-99,-99,0,2,-99
2024-01-06,12,-99,1,1,-99,0,0,1,0,3,0,1,1,-99,1,-99,0,1,2,-99,1,1,0,1,0,-99,-99,1,1,-99,-99,0,1,-99
