FECHA,HORA,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CHO,COY,CUA,CUT,FAC,FAR,HGM,INN,IZT,LLA,LPR,MER,MGH,MON,MPA,NEZ,PED,SAC,SAG,SFE,SJA,TAH,TLA,TLI,UAX,UIZ,VIF,XAL
2024-01-02,23,-99,4,-99,42,-99,10,8,7,-99,2,16,33,-99,8,-99,12,-99,-99,21,42,-99,-99,-99,5,1,6,-99,-99,2,47,28,-99,8,15,-99
2024-01-02,24,-99,4,-99,56,-99,28,2,2,-99,2,13,51,-99,10,-99,14,-99,-99,23,11,-99,-99,-99,9,1,4,-99,-99,4,23,78,-99,9,14,-99
2024-01-03,1,-99,2,-99,61,-99,17,3,3,-99,1,18,26,-99,2,-99,5,-99,-99,17,20,-99,-99,-99,9,0,1,-99,-99,3,11,40,-99,8,24,-99
2024-01-03,2,-99,0,-99,13,-99,40,3,1,-99,0,13,22,-99,2,-99,8,-99,-99,20,44,-99,-99,-99,25,0,1,-99,-99,1,40,19,-99,6,21,-99
2024-01-03,3,-99,0,-99,13,-99,42,8,1,-99,0,6,8,-99,17,-99,17,-99,-99,33,17,-99,-99,-99,14,1,5,-99,-99,1,21,20,-99,31,31,-99
2024-01-03,4,-99,1,-99,26,-99,38,10,2,-99,0,3,5,-99,20,-99,7,-99,-99,30,13,-99,-99,-99,6,0,22,-99,-99,1,28,30,-99,3,19,-99
2024-01-03,5,-99,0,-99,9,-99,64,7,2,-99,0,1,3,-99,11,-99,3,-99,-99,18,22,-99,-99,-99,2,3,3,-99,-99,2,19,42,-99,0,24,-99
2024-01-03,6,-99,0,-99,25,-99,81,5,4,-99,0,2,19,-99,10,-99,12,-99,-99,43,48,-99,-99,-99,5,8,22,-99,-99,5,27,32,-99,3,41,-99
2024-01-03,7,-99,7,-99,57,-99,65,34,13,-99,6,4,57,-99,39,-99,57,-99,-99,84,102,-99,-99,-99,10,0,28,-99,-99,2,109,52,-99,34,72,-99
2024-01-03,8,-99,15,-99,92,-99,100,49,37,-99,5,11,150,-99,52,-99,53,-99,-99,104,95,-99,-99,-99,35,15,44,-99,-99,13,-99,175,-99,19,130,-99
2024-01-03,9,-99,5,-99,115,-99,85,58,59,-99,12,19,203,-99,38,-99,37,-99,-99,70,61,-99,-99,-99,47,74,44,-99,-99,21,155,208,-99,24,105,-99
2024-01-03,10,-99,12,-99,49,-99,79,73,17,-99,15,41,105,-99,46,-99,52,-99,-99,57,60,-99,-99,-99,27,-99,34,-99,-99,14,80,134,-99,21,73,-99
2024-01-03,11,-99,13,-99,37,-99,27,31,9,-99,15,56,55,-99,28,-99,26,-99,-99,72,37,-99,-99,-99,15,21,21,-99,-99,7,39,67,-99,14,36,-99
2024-01-03,12,-99,8,-99,17,-99,16,15,9,-99,12,24,26,-99,22,-99,13,-99,-99,38,15,-99,-99,-99,-99,10,10,-99,-99,5,25,23,-99,11,14,-99
2024-01-03,13,-99,8,-99,16,-99,6,7,7,-99,13,6,13,-99,11,-99,12,-99,-99,11,10,-99,-99,-99,-99,2,4,-99,-99,3,19,8,-99,8,6,-99
2024-01-03,14,-99,3,-99,7,-99,3,6,10,-99,9,5,8,-99,6,-99,5,-99,-99,8,8,-99,-99,-99,-99,1,3,-99,-99,2,19,3,-99,2,3,-99
2024-01-03,15,-99,2,-99,4,-99,4,4,6,-99,6,4,7,-99,4,-99,3,-99,-99,5,6,-99,-99,-99,-99,1,2,-99,-99,1,9,2,-99,2,3,-99
2024-01-03,16,-99,1,-99,3,-99,4,2,6,-99,3,2,8,-99,2,-99,3,-99,-99,3,3,-99,-99,-99,-99,1,2,-99,-99,2,4,1,-99,1,3,-99
2024-01-03,17,-99,2,-99,1,-99,2,1,5,-99,1,1,5,-99,2,-99,2,-99,-99,1,3,-99,-99,-99,-99,1,4,-99,-99,1,7,1,-99,1,2,-99
2024-01-03,18,-99,2,-99,2,-99,3,1,5,-99,2,2,8,-99,2,-99,4,-99,-99,1,3,-99,-99,-99,-99,1,4,-99,-99,0,14,1,-99,0,2,-99
2024-01-03,19,-99,0,-99,3,-99,1,1,5,-99,2,2,13,-99,1,-99,5,-99,-99,1,1,-99,-99,-99,-99,0,4,-99,-99,0,17,1,-99,0,3,-99
2024-01-03,20,-99,0,-99,17,-99,2,3,7,-99,2,2,8,-99,2,-99,6,-99,-99,2,5,-99,-99,-99,-99,1,4,-99,-99,1,13,2,-99,0,3,-99
2024-01-03,21,-99,0,-99,61,-99,4,8,7,-99,2,3,39,-99,2,-99,7,-99,-99,6,23,-99,-99,-99,14,1,6,-99,-99,1,18,4,-99,0,4,-99
2024-01-03,22,-99,0,-99,44,-99,4,35,4,-99,1,3,71,-99,2,-99,5,-99,-99,5,28,-99,-99,-99,23,1,6,-99,-99,1,40,3,-99,1,6,-99
2024-01-03,23,-99,0,-99,39,-99,5,29,7,-99,1,5,25,-99,1,-99,6,-99,-99,8,9,-99,-99,-99,12,0,6,-99,-99,1,32,4,-99,0,7,-99
2024-01-03,24,-99,0,-99,8,-99,12,36,3,-99,1,1,34,-99,2,-99,10,-99,-99,34,11,-99,-99,-99,40,1,12,-99,-99,2,34,15,-99,1,16,-99
2024-01-04,1,-99,0,-99,2,-99,49,13,6,-99,2,1,21,-99,2,-99,5,-99,-99,17,11,-99,-99,-99,1,1,3,-99,-99,1,41,21,-99,0,23,-99
2024-01-04,2,-99,0,-99,4,-99,91,15,2,-99,0,1,4,-99,10,-99,16,-99,-99,30,10,-99,-99,-99,0,0,2,-99,-99,1,18,16,-99,0,12,-99
2024-01-04,3,-99,0,-99,9,-99,77,6,1,-99,0,0,4,-99,13,-99,5,-99,-99,37,28,-99,-99,-99,0,1,2,-99,-99,1,18,11,-99,0,15,-99
2024-01-04,4,-99,0,-99,14,-99,165,2,4,-99,0,1,2,-99,2,-99,3,-99,-99,51,20,-99,-99,-99,0,1,1,-99,-99,1,32,46,-99,0,67,-99
2024-01-04,5,-99,0,-99,16,-99,109,0,1,-99,0,1,-99,-99,3,-99,2,-99,-99,44,37,-99,-99,-99,0,1,5,-99,-99,1,17,31,-99,0,52,-99
2024-01-04,6,-99,0,-99,38,-99,224,1,5,-99,1,1,-99,-99,16,-99,22,-99,-99,62,113,-99,-99,-99,0,1,13,-99,-99,5,31,72,-99,1,52,-99
2024-01-04,7,-99,0,-99,63,-99,334,1,7,-99,1,3,-99,-99,44,-99,108,-99,-99,166,77,-99,-99,-99,7,2,9,-99,-99,2,96,90,-99,64,80,-99
2024-01-04,8,-99,2,-99,96,-99,167,20,20,-99,6,18,-99,-99,112,-99,229,-99,-99,202,131,-99,-99,-99,49,2,29,-99,-99,6,150,97,-99,29,110,-99
2024-01-04,9,-99,7,-99,65,-99,73,28,20,-99,5,31,-99,-99,93,-99,209,-99,-99,137,82,-99,-99,-99,30,4,26,-99,-99,6,142,135,-99,90,124,-99
2024-01-04,10,-99,9,-99,61,-99,37,36,11,-99,4,34,77,-99,41,-99,49,-99,-99,39,62,-99,-99,-99,31,3,14,-99,-99,6,43,166,-99,21,107,-99
2024-01-04,11,-99,16,-99,18,-99,14,19,7,-99,8,49,27,-99,11,-99,6,-99,-99,6,19,-99,-99,-99,17,2,6,-99,-99,2,24,49,-99,2,23,-99
2024-01-04,12,-99,8,-99,10,-99,5,7,7,-99,9,17,17,-99,3,-99,4,-99,-99,-99,7,-99,-99,-99,6,2,4,-99,-99,1,-99,-99,-99,1,10,-99
2024-01-04,13,-99,5,-99,4,-99,2,3,8,-99,4,6,7,-99,2,-99,3,-99,-99,-99,4,-99,-99,-99,2,2,3,-99,-99,0,-99,-99,-99,1,10,-99
2024-01-04,14,-99,2,-99,2,-99,1,2,7,-99,3,3,4,-99,5,-99,3,-99,-99,-99,3,-99,-99,-99,2,1,3,-99,-99,1,-99,-99,-99,2,-99,-99
2024-01-04,15,-99,0,-99,1,-99,0,3,6,-99,2,1,3,-99,2,-99,3,-99,-99,-99,2,-99,-99,-99,1,1,3,-99,-99,1,-99,-99,-99,3,-99,-99
2024-01-04,16,-99,1,-99,1,-99,1,1,8,-99,2,1,2,-99,2,-99,2,-99,-99,-99,2,-99,-99,-99,0,2,4,-99,-99,1,-99,-99,-99,1,-99,-99
2024-01-04,17,-99,1,-99,1,-99,0,1,6,-99,2,1,4,-99,1,-99,1,-99,-99,-99,1,-99,-99,-99,0,3,3,-99,-99,1,-99,-99,-99,2,-99,-99
2024-01-04,18,-99,2,-99,2,-99,0,1,7,-99,3,1,5,-99,2,-99,1,-99,-99,-99,1,-99,-99,-99,0,1,4,-99,-99,0,-99,-99,-99,2,-99,-99
2024-01-04,19,-99,0,-99,2,-99,1,0,5,-99,3,3,6,-99,2,-99,2,-99,-99,-99,3,-99,-99,-99,0,1,4,-99,-99,0,-99,-99,-99,1,-99,-99
2024-01-04,20,-99,0,-99,1,-99,6,0,6,-99,3,3,6,-99,2,-99,8,-99,-99,-99,6,-99,-99,-99,0,2,5,-99,-99,1,-99,-99,-99,0,-99,-99
2024-01-04,21,-99,0,-99,2,-99,27,0,5,-99,3,4,16,-99,2,-99,10,-99,-99,-99,13,-99,-99,-99,0,2,7,-99,-99,1,-99,-99,-99,2,-99,-99
2024-01-04,22,-99,0,-99,2,-99,8,1,8,-99,3,11,17,-99,4,-99,15,-99,-99,-99,23,-99,-99,-99,0,2,10,-99,-99,2,-99,-99,-99,1,-99,-99
2024-01-04,23,-99,0,-99,2,-99,6,1,7,-99,1,41,10,-99,3,-99,10,-99,-99,-99,20,-99,-99,-99,0,2,11,-99,-99,5,-99,-99,-99,4,-99,-99
2024-01-04,24,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2024-01-05,1,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2024-01-05,2,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2024-01-05,3,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99
2024-01-05,4,-99,0,-99,-99,-99,163,1,3,-99,-99,7,17,-99,18,-99,11,-99,-99,2,147,-99,-99,-99,3,1,2,-99,-99,1,26,7,-99,1,8,-99
2024-01-05,5,-99,0,-99,-99,-99,8,1,5,-99,-99,13,27,-99,4,-99,10,-99,-99,4,81,-99,-99,-99,1,0,4,-99,-99,0,21,7,-99,2,1,-99
2024-01-05,6,-99,0,-99,-99,-99,36,1,9,-99,-99,17,17,-99,18,-99,45,-99,-99,18,75,-99,-99,-99,1,1,7,-99,-99,1,21,2,-99,0,4,-99
2024-01-05,7,-99,1,-99,-99,-99,234,2,11,-99,-99,33,75,-99,50,-99,84,-99,-99,63,126,-99,-99,-99,4,1,20,-99,-99,1,54,2,-99,31,11,-99
2024-01-05,8,-99,2,-99,-99,-99,246,16,20,-99,-99,50,59,-99,81,-99,132,-99,-99,107,51,-99,-99,-99,-99,2,36,-99,-99,1,47,10,-99,65,38,-99
2024-01-05,9,-99,15,-99,-99,-99,99,40,14,-99,25,67,100,-99,41,-99,43,-99,-99,33,60,-99,-99,-99,32,3,23,-99,-99,2,54,9,-99,11,19,-99
2024-01-05,10,-99,22,-99,-99,-99,11,28,9,-99,21,15,43,-99,11,-99,9,-99,-99,11,26,-99,-99,-99,33,2,10,-99,-99,2,32,8,-99,3,11,-99
2024-01-05,11,-99,15,-99,-99,-99,6,13,8,-99,9,10,20,-99,4,-99,5,-99,-99,5,9,-99,-99,-99,10,2,7,-99,-99,1,24,6,-99,3,8,-99
2024-01-05,12,-99,9,-99,-99,-99,6,6,7,-99,4,6,7,-99,4,-99,3,-99,-99,3,4,-99,-99,-99,5,1,7,-99,-99,1,27,3,-99,2,5,-99
2024-01-05,13,-99,4,-99,-99,-99,2,4,7,-99,4,3,5,-99,4,-99,4,-99,-99,3,4,-99,-99,-99,2,2,6,-99,-99,1,19,3,-99,2,4,-99
2024-01-05,14,-99,1,-99,-99,-99,0,3,9,-99,4,2,4,-99,3,-99,1,-99,-99,6,3,-99,-99,-99,1,2,6,-99,-99,1,6,2,-99,3,4,-99
